C1,C2,C3,C4,C5,C6,C7
3,1,160,13,-1.000,-1.000,37339
3,2,161,8,0.704,0.352,32944
3,3,168,10,1.005,0.502,25631
3,4,164,8,0.617,0.309,19474
3,5,165,8,0.138,0.069,32416
3,6,167,6,0.390,0.195,21680
3,7,168,7,0.195,0.098,26185
3,8,164,8,0.569,0.284,16790
3,9,160,5,0.690,0.345,9752
3,10,160,6,0.138,0.069,14243
3,11,160,7,0.138,0.069,28043
3,12,165,6,0.704,0.352,29846
3,13,164,6,0.138,0.069,24358
3,14,165,6,0.138,0.069,24735
3,15,167,6,0.276,0.138,20660
3,16,165,5,0.309,0.154,16034
3,17,168,5,0.414,0.207,23208
3,18,168,5,0.000,0.000,13755
3,19,167,4,0.195,0.098,12734
3,20,167,6,0.276,0.138,16542
3,21,167,4,0.276,0.138,16923
3,22,166,5,0.195,0.098,20518
3,23,165,6,0.195,0.098,24109
3,24,166,6,0.138,0.069,13515
3,25,167,6,0.138,0.069,14609
3,26,167,4,0.276,0.138,14568
3,27,166,7,0.436,0.218,23396
3,28,166,5,0.276,0.138,10569
3,29,165,7,0.309,0.154,16517
3,30,163,6,0.309,0.154,13208
3,31,164,5,0.195,0.098,12856
3,32,162,5,0.276,0.138,27081
3,33,161,2,0.436,0.218,15930
3,34,162,5,0.436,0.218,14674
3,35,160,5,0.276,0.138,20071
3,36,158,4,0.309,0.154,14445
3,37,156,5,0.309,0.154,25226
3,38,153,5,0.414,0.207,16702
3,39,153,5,0.000,0.000,11685
3,40,157,5,0.552,0.276,10380
3,41,154,4,0.436,0.218,11243
3,42,154,4,0.000,0.000,13048
3,43,155,6,0.309,0.154,10194
3,44,154,5,0.195,0.098,12381
3,45,153,5,0.138,0.069,12571
3,46,160,6,0.976,0.488,14584
3,47,157,6,0.414,0.207,15727
