Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,64,53,-1.000,-1.000,44925
1,2,65,51,0.288,0.144,36565
1,3,65,51,0.000,0.000,40292
1,4,65,51,0.000,0.000,35942
1,5,65,53,0.258,0.129,51003
1,6,65,53,0.000,0.000,42953
1,7,65,52,0.129,0.065,38420
1,8,65,52,0.000,0.000,45684
1,9,66,51,0.182,0.091,38307
1,10,66,51,0.000,0.000,33498
1,11,66,51,0.000,0.000,38916
1,12,66,51,0.000,0.000,31356
1,13,67,50,0.182,0.091,37068
1,14,67,50,0.000,0.000,38765
1,15,67,51,0.129,0.065,35084
1,16,67,51,0.000,0.000,39319
1,17,67,51,0.000,0.000,38566
1,18,67,50,0.129,0.065,42683
1,19,67,50,0.000,0.000,28872
1,20,70,49,0.408,0.204,35814
1,21,70,49,0.000,0.000,30674
1,22,70,49,0.000,0.000,29709
1,23,70,50,0.129,0.065,28871
1,24,70,50,0.000,0.000,26208
1,25,70,49,0.129,0.065,33652
1,26,70,49,0.000,0.000,33465
1,27,69,49,0.129,0.065,29310
1,28,69,49,0.000,0.000,21697
1,29,71,50,0.288,0.144,24555
1,30,71,50,0.000,0.000,24874
1,31,71,50,0.000,0.000,36558
1,32,71,50,0.000,0.000,28529
1,33,73,49,0.288,0.144,34005
1,34,73,49,0.000,0.000,34269
1,35,73,49,0.000,0.000,24740
1,36,73,49,0.000,0.000,26323
1,37,72,48,0.182,0.091,29272
1,38,72,48,0.000,0.000,22514
1,39,73,48,0.129,0.065,27495
1,40,73,48,0.000,0.000,19977
1,41,76,47,0.408,0.204,24241
1,42,76,47,0.000,0.000,24826
1,43,76,47,0.000,0.000,27307
1,44,76,47,0.000,0.000,30704
1,45,76,46,0.129,0.065,30807
1,46,76,46,0.000,0.000,31432
1,47,76,46,0.000,0.000,29656
1,48,75,46,0.129,0.065,29807
1,49,75,45,0.129,0.065,32792
1,50,76,44,0.182,0.091,27109
1,51,76,44,0.000,0.000,27485
1,52,76,43,0.129,0.065,24172
1,53,76,43,0.000,0.000,23577
1,54,74,43,0.258,0.129,32253
1,55,74,43,0.000,0.000,27182
1,56,75,42,0.182,0.091,28082
1,57,75,42,0.000,0.000,27337
1,58,75,42,0.000,0.000,27166
1,59,75,42,0.000,0.000,27150
1,60,75,42,0.000,0.000,21553
1,61,75,42,0.000,0.000,26606
1,62,75,40,0.258,0.129,26058
1,63,75,40,0.000,0.000,25208
1,64,75,40,0.000,0.000,24312
1,65,75,40,0.000,0.000,23680
1,66,74,40,0.129,0.065,20764
1,67,76,39,0.288,0.144,25042
1,68,76,39,0.000,0.000,23067
1,69,78,38,0.288,0.144,23144
1,70,78,38,0.000,0.000,23957
1,71,77,37,0.182,0.091,26849
1,72,77,37,0.000,0.000,20535
1,73,77,39,0.258,0.129,20583
1,74,77,39,0.000,0.000,20129
1,75,76,39,0.129,0.065,24468
1,76,76,39,0.000,0.000,21339
1,77,76,38,0.129,0.065,23003
1,78,76,38,0.000,0.000,19115
1,79,78,38,0.258,0.129,19299
1,80,78,38,0.000,0.000,18628
1,81,78,38,0.000,0.000,20154
1,82,78,38,0.000,0.000,18120
1,83,79,38,0.129,0.065,15424
1,84,79,38,0.000,0.000,18502
1,85,77,36,0.365,0.182,20967
1,86,77,36,0.000,0.000,21769
1,87,77,36,0.000,0.000,21751
1,88,77,36,0.000,0.000,22442
1,89,76,36,0.129,0.065,26436
1,90,76,37,0.129,0.065,22226
1,91,76,37,0.000,0.000,22901
1,92,76,37,0.000,0.000,27806
1,93,78,37,0.258,0.129,23114
1,94,78,37,0.000,0.000,21891
1,95,79,38,0.182,0.091,17823
1,96,79,38,0.000,0.000,15262
1,97,80,39,0.182,0.091,15727
1,98,83,36,0.547,0.274,17316
1,99,83,36,0.000,0.000,18110
1,100,81,38,0.365,0.182,18059
1,101,81,38,0.000,0.000,19539
1,102,79,37,0.288,0.144,25919
1,103,79,37,0.000,0.000,23316
1,104,80,36,0.182,0.091,28253
1,105,80,36,0.000,0.000,25707
1,106,82,36,0.258,0.129,22115
1,107,82,36,0.000,0.000,22309
1,108,81,36,0.129,0.065,27469
1,109,81,36,0.000,0.000,21220
1,110,82,35,0.182,0.091,24039
1,111,82,35,0.000,0.000,25389
1,112,82,35,0.000,0.000,24232
1,113,82,35,0.000,0.000,23773
1,114,82,35,0.000,0.000,26529
1,115,82,35,0.000,0.000,25454
1,116,81,35,0.129,0.065,26157
1,117,81,35,0.000,0.000,21542
1,118,81,35,0.000,0.000,22443
1,119,81,34,0.129,0.065,23114
1,120,81,34,0.000,0.000,29930
1,121,81,32,0.258,0.129,17483
1,122,81,32,0.000,0.000,16992
1,123,82,32,0.129,0.065,23099
1,124,82,33,0.129,0.065,21038
1,125,82,33,0.000,0.000,23477
1,126,81,33,0.129,0.065,24391
1,127,81,32,0.129,0.065,21586
1,128,82,31,0.182,0.091,23059
1,129,82,31,0.000,0.000,19793
1,130,83,31,0.129,0.065,21137
1,131,83,31,0.000,0.000,25593
1,132,83,31,0.000,0.000,20787
1,133,83,33,0.258,0.129,23217
1,134,83,33,0.000,0.000,20619
1,135,84,32,0.182,0.091,23899
1,136,84,32,0.000,0.000,12411
1,137,92,30,1.064,0.532,17018
1,138,91,30,0.129,0.065,18886
1,139,91,30,0.000,0.000,20859
1,140,92,29,0.182,0.091,16884
1,141,92,29,0.000,0.000,18135
1,142,93,29,0.129,0.065,19733
1,143,93,29,0.000,0.000,17075
1,144,92,29,0.129,0.065,19255
1,145,92,29,0.000,0.000,13826
1,146,91,29,0.129,0.065,14790
1,147,91,29,0.000,0.000,11761
1,148,87,30,0.532,0.266,20100
1,149,87,30,0.000,0.000,18530
1,150,86,30,0.129,0.065,18851
1,151,86,30,0.000,0.000,14623
1,152,86,29,0.129,0.065,13516
1,153,86,29,0.000,0.000,18582
1,154,87,28,0.182,0.091,20479
1,155,87,28,0.000,0.000,14423
1,156,87,28,0.000,0.000,15112
1,157,87,28,0.000,0.000,14178
1,158,88,28,0.129,0.065,20520
1,159,88,28,0.000,0.000,15284
1,160,92,28,0.516,0.258,11672
1,161,92,28,0.000,0.000,9725
1,162,89,28,0.387,0.194,15116
1,163,89,28,0.000,0.000,13690
1,164,88,28,0.129,0.065,20160
1,165,88,28,0.000,0.000,14568
1,166,87,27,0.182,0.091,16792
1,167,87,27,0.000,0.000,18844
1,168,87,28,0.129,0.065,17409
1,169,87,28,0.000,0.000,16995
1,170,87,27,0.129,0.065,20492
1,171,87,27,0.000,0.000,20979
1,172,89,27,0.258,0.129,19367
1,173,89,27,0.000,0.000,20783
1,174,89,27,0.000,0.000,21474
1,175,89,27,0.000,0.000,20165
1,176,87,27,0.258,0.129,19190
1,177,87,27,0.000,0.000,15296
1,178,87,26,0.129,0.065,20865
1,179,87,26,0.000,0.000,17936
1,180,87,25,0.129,0.065,17873
1,181,87,25,0.000,0.000,20619
1,182,88,25,0.129,0.065,19925
1,183,88,25,0.000,0.000,16509
1,184,89,24,0.182,0.091,16887
