Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,154,53,-1.000,-1.000,30281
1,2,149,51,0.695,0.347,36418
1,3,149,51,0.000,0.000,33429
1,4,151,51,0.258,0.129,35510
1,5,152,51,0.129,0.065,36453
1,6,150,51,0.258,0.129,43507
1,7,150,51,0.000,0.000,38923
1,8,149,50,0.182,0.091,34236
1,9,149,50,0.000,0.000,32417
1,10,148,51,0.182,0.091,37642
1,11,148,51,0.000,0.000,40753
1,12,148,51,0.000,0.000,40508
1,13,148,51,0.000,0.000,34403
1,14,148,51,0.000,0.000,36926
1,15,149,51,0.129,0.065,26486
1,16,149,49,0.258,0.129,35907
1,17,149,49,0.000,0.000,28436
1,18,150,48,0.182,0.091,26496
1,19,150,48,0.000,0.000,21536
1,20,149,48,0.129,0.065,29342
1,21,149,48,0.000,0.000,25502
1,22,148,49,0.182,0.091,28590
1,23,148,49,0.000,0.000,34326
1,24,148,49,0.000,0.000,34552
1,25,148,49,0.000,0.000,25724
1,26,144,50,0.532,0.266,41578
1,27,144,50,0.000,0.000,42096
1,28,144,50,0.000,0.000,37007
1,29,144,50,0.000,0.000,28608
1,30,146,48,0.365,0.182,35858
1,31,146,48,0.000,0.000,35735
1,32,146,49,0.129,0.065,30264
1,33,146,49,0.000,0.000,29213
1,34,147,49,0.129,0.065,28784
1,35,147,49,0.000,0.000,24857
1,36,148,49,0.129,0.065,27067
1,37,148,49,0.000,0.000,29622
1,38,147,47,0.288,0.144,32931
1,39,147,47,0.000,0.000,27341
1,40,146,47,0.129,0.065,30915
1,41,146,47,0.000,0.000,25077
1,42,148,46,0.288,0.144,30560
1,43,148,46,0.000,0.000,31970
1,44,150,46,0.258,0.129,27450
1,45,150,46,0.000,0.000,25584
1,46,150,46,0.000,0.000,23985
1,47,150,46,0.000,0.000,22431
1,48,148,44,0.365,0.182,25291
1,49,148,44,0.000,0.000,26479
1,50,148,44,0.000,0.000,27294
1,51,148,44,0.000,0.000,22771
1,52,150,43,0.288,0.144,24655
1,53,150,43,0.000,0.000,22943
1,54,150,41,0.258,0.129,20769
1,55,150,41,0.000,0.000,25441
1,56,150,41,0.000,0.000,26885
1,57,150,41,0.000,0.000,29270
1,58,150,41,0.000,0.000,31527
1,59,150,42,0.129,0.065,27720
1,60,150,42,0.000,0.000,22626
1,61,150,42,0.000,0.000,26285
1,62,150,42,0.000,0.000,29507
1,63,150,42,0.000,0.000,23616
1,64,150,42,0.000,0.000,20635
1,65,148,40,0.365,0.182,32626
1,66,148,40,0.000,0.000,27306
1,67,149,40,0.129,0.065,29677
1,68,149,40,0.000,0.000,31088
1,69,149,40,0.000,0.000,25019
1,70,149,40,0.000,0.000,25699
1,71,150,38,0.288,0.144,22138
1,72,150,38,0.000,0.000,20803
1,73,150,38,0.000,0.000,22068
1,74,150,38,0.000,0.000,23785
1,75,150,38,0.000,0.000,24158
1,76,150,38,0.000,0.000,22375
1,77,150,38,0.000,0.000,24919
1,78,150,38,0.000,0.000,22163
1,79,149,37,0.182,0.091,22832
1,80,149,37,0.000,0.000,22764
1,81,149,37,0.000,0.000,22302
1,82,149,37,0.000,0.000,21187
1,83,148,37,0.129,0.065,21862
1,84,148,37,0.000,0.000,21959
1,85,147,37,0.129,0.065,23104
1,86,147,37,0.000,0.000,22523
1,87,146,37,0.129,0.065,28046
1,88,146,37,0.000,0.000,26041
1,89,146,37,0.000,0.000,27905
1,90,146,37,0.000,0.000,24781
1,91,148,37,0.258,0.129,17972
1,92,148,37,0.000,0.000,19344
1,93,147,36,0.182,0.091,23804
1,94,147,36,0.000,0.000,20148
1,95,146,36,0.129,0.065,24995
1,96,146,36,0.000,0.000,25194
1,97,145,36,0.129,0.065,23836
1,98,145,36,0.000,0.000,24572
1,99,146,37,0.182,0.091,20982
1,100,146,37,0.000,0.000,27265
1,101,146,37,0.000,0.000,27223
1,102,146,37,0.000,0.000,24331
1,103,146,35,0.258,0.129,20979
1,104,146,35,0.000,0.000,21170
1,105,147,35,0.129,0.065,18641
1,106,147,35,0.000,0.000,18897
1,107,148,35,0.129,0.065,19673
1,108,148,35,0.000,0.000,23699
1,109,147,35,0.129,0.065,22165
1,110,147,35,0.000,0.000,22473
1,111,147,34,0.129,0.065,22348
1,112,147,34,0.000,0.000,25517
1,113,147,34,0.000,0.000,23171
1,114,147,34,0.000,0.000,24865
1,115,145,34,0.258,0.129,18760
1,116,145,34,0.000,0.000,19231
1,117,146,33,0.182,0.091,18458
1,118,146,33,0.000,0.000,19692
1,119,146,33,0.000,0.000,20002
1,120,146,33,0.000,0.000,23819
1,121,146,33,0.000,0.000,23608
1,122,146,33,0.000,0.000,25273
1,123,146,33,0.000,0.000,19959
1,124,146,33,0.000,0.000,25893
1,125,148,32,0.288,0.144,18499
1,126,148,32,0.000,0.000,17595
1,127,148,31,0.129,0.065,20291
1,128,148,31,0.000,0.000,20077
1,129,147,30,0.182,0.091,19143
1,130,147,30,0.000,0.000,17009
1,131,147,30,0.000,0.000,27153
1,132,147,30,0.000,0.000,23294
1,133,147,30,0.000,0.000,20077
1,134,147,30,0.000,0.000,20280
1,135,146,31,0.182,0.091,19381
1,136,146,31,0.000,0.000,15261
1,137,146,30,0.129,0.065,14316
1,138,146,30,0.000,0.000,20650
1,139,146,30,0.000,0.000,21682
1,140,146,30,0.000,0.000,19562
1,141,146,29,0.129,0.065,19118
1,142,146,29,0.000,0.000,21068
1,143,146,29,0.000,0.000,19923
